mid,text,doPass,bid,cid,VoteDate,ayes,naes,abstain,result
147482,"HR 3 ATKINS Assembly Third Reading",0,CA_201520160HR3,435,"2014-12-01 13:00:47",80,0,0,(PASS)
147487,"Unfinished Business SCR3 Mendoza Concurrence",0,CA_201520160SCR3,452,"2015-01-29 09:37:00",35,0,2,(PASS)
147488,"W/O REF. TO FILE SR10 Stone",0,CA_201520160SR10,452,"2015-01-29 09:16:00",35,0,2,(PASS)
147493,"Be adopted. To Consent Calendar.",0,CA_201520160SCR4,26,"2015-02-09 00:00:00",10,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR13,26,"2015-02-17 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160AJR4,30,"2015-02-10 00:00:00",10,4,0,(PASS)
147500,"Assembly 3rd Reading ACR3 Kim By Pan",0,CA_201520160ACR3,452,"2015-02-17 14:20:00",36,0,1,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR11,26,"2015-02-09 00:00:00",10,0,0,(PASS)
147501,"AJR 4 DODD Assembly Third Reading",0,CA_201520160AJR4,435,"2015-02-17 12:19:38",54,20,6,(PASS)
147564,"Senate 3rd Reading SB102   Committee On B. & F.R. (Leno)",0,CA_201520160SB102,452,"2015-03-23 15:22:00",23,13,3,(PASS)
147565,"Senate 3rd Reading SB103   Committee On B. & F.R. (Leno)",0,CA_201520160SB103,452,"2015-03-23 15:23:00",23,13,3,(PASS)
147566,"Senate 3rd Reading SB104   Committee On B. & F.R. (Leno)",0,CA_201520160SB104,452,"2015-03-23 15:23:00",23,13,3,(PASS)
147567,"Senate 3rd Reading SB105   Committee On B. & F.R. (Leno)",0,CA_201520160SB105,452,"2015-03-23 15:23:00",23,13,3,(PASS)
147568,"Senate 3rd Reading SB106   Committee On B. & F.R. (Leno)",0,CA_201520160SB106,452,"2015-03-23 15:23:00",23,13,3,(PASS)
147569,"Senate 3rd Reading SB107   Committee On B. & F.R. (Leno)",0,CA_201520160SB107,452,"2015-03-23 15:24:00",23,13,3,(PASS)
147570,"Senate 3rd Reading SB108   Committee On B. & F.R. (Leno)",0,CA_201520160SB108,452,"2015-03-23 15:24:00",23,13,3,(PASS)
147571,"Senate 3rd Reading SB109   Committee On B. & F.R. (Leno)",0,CA_201520160SB109,452,"2015-03-23 15:24:00",23,13,3,(PASS)
147617,"Do pass as amended, and be re-referred to the Committee on [Appropriations]  with recommendation: To Consent Calendar",1,CA_201520160AB71,24,"2015-03-24 00:00:00",7,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB150,24,"2015-03-24 00:00:00",7,0,0,(PASS)
147529,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",1,CA_201520160AB231,24,"2015-03-24 00:00:00",7,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB246,24,"2015-03-24 00:00:00",5,1,0,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB256,24,"2015-03-24 00:00:00",7,0,0,(PASS)
104835,"Do pass as amended.",1,CA_201520160AB267,24,"2015-03-24 00:00:00",6,0,0,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB334,24,"2015-03-24 00:00:00",5,1,1,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB373,24,"2015-03-24 00:00:00",6,1,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB178,63,"2015-03-24 00:00:00",6,1,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB237,63,"2015-03-24 00:00:00",6,0,0,(PASS)
104835,"Do pass as amended.",1,CA_201520160AB32,24,"2015-03-24 00:00:00",7,0,0,(PASS)
147529,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",1,CA_201520160AB65,24,"2015-03-24 00:00:00",6,0,1,(PASS)
147619,"Do pass as amended",1,CA_201520160SB266,63,"2015-03-24 00:00:00",7,0,0,(PASS)
147639,"Senate 3rd Reading SR15 Mendoza",0,CA_201520160SR15,452,"2015-03-26 09:29:00",32,0,7,(PASS)
147640,"Senate 3rd Reading SCR29 Nguyen",0,CA_201520160SCR29,452,"2015-03-26 09:26:00",27,1,11,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB61,63,"2015-03-24 00:00:00",7,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB164,63,"2015-03-24 00:00:00",7,0,0,(PASS)
147641,"Senate 3rd Reading SCR32 Beall",0,CA_201520160SCR32,452,"2015-03-26 09:39:00",32,0,7,(PASS)
147642,"Assembly 3rd Reading ACR26 Levine By McGuire",0,CA_201520160ACR26,452,"2015-03-26 09:41:00",31,0,8,(PASS)
147643,"Assembly 3rd Reading ACR41 Ting By Pan",0,CA_201520160ACR41,452,"2015-03-26 09:53:00",31,0,8,(PASS)
147644,"Assembly 3rd Reading ACR42 Quirk By Fuller",0,CA_201520160ACR42,452,"2015-03-26 09:43:00",31,0,8,(PASS)
147631,"Do pass and be re-referred to the Committee on [Arts, Entertainment, Sports, Tourism, and Internet Media]",1,CA_201520160AB202,19,"2015-04-08 00:00:00",5,2,0,(PASS)
147684,"Do pass and be re-referred to the Committee on [Judiciary]",1,CA_201520160AB272,19,"2015-04-08 00:00:00",7,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB520,19,"2015-04-08 00:00:00",5,0,2,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB561,19,"2015-04-08 00:00:00",5,2,0,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB578,19,"2015-04-08 00:00:00",5,2,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB621,19,"2015-04-08 00:00:00",5,2,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB676,19,"2015-04-08 00:00:00",5,1,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB852,19,"2015-04-08 00:00:00",5,2,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB883,19,"2015-04-08 00:00:00",5,1,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB970,19,"2015-04-08 00:00:00",5,2,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB987,19,"2015-04-08 00:00:00",6,0,1,(PASS)
147690,"Do pass and be re-referred to the Committee on [Jobs, Economic Development, and the Economy]",1,CA_201520160AB1270,19,"2015-04-08 00:00:00",6,0,1,(PASS)
147514,"Unfinished Business SCR10 Huff Concurrence",0,CA_201520160SCR10,452,"2015-03-09 15:18:00",35,0,2,(PASS)
147515,"Senate 3rd Reading SR13 Jackson",0,CA_201520160SR13,452,"2015-03-09 15:34:00",36,0,1,(PASS)
147516,"Senate 3rd Reading SR14 Hall",0,CA_201520160SR14,452,"2015-03-09 15:52:00",36,0,1,(PASS)
147531,"Senate 3rd Reading SCR21 Jackson",0,CA_201520160SCR21,452,"2015-03-19 09:50:00",35,0,3,(PASS)
147532,"Senate 3rd Reading SCR31 Wolk",0,CA_201520160SCR31,452,"2015-03-19 09:51:00",35,0,3,(PASS)
147533,"Senate 3rd Reading SR16 Bates",0,CA_201520160SR16,452,"2015-03-19 09:35:00",35,0,3,(PASS)
147534,"Assembly 3rd Reading ACR20 Mark Stone By Jackson",0,CA_201520160ACR20,452,"2015-03-19 09:53:00",35,0,3,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB15,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147670,"Do pass as amended, but first amend, and re-refer to the Committee on [Environmental Quality]",1,CA_201520160SB334,50,"2015-04-08 00:00:00",7,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB128,59,"2015-04-07 00:00:00",5,2,0,(PASS)
147622,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",1,CA_201520160SB369,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB373,50,"2015-04-08 00:00:00",5,2,0,(PASS)
147683,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]  with the recommendation: To Consent Calendar",1,CA_201520160SB416,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147683,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]  with the recommendation: To Consent Calendar",1,CA_201520160SB418,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147529,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",1,CA_201520160AB64,23,"2015-04-08 00:00:00",6,0,0,(PASS)
147677,"Do pass and be re-referred to the Committee on [Rules]",1,CA_201520160AB584,23,"2015-04-08 00:00:00",6,0,0,(PASS)
147529,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",1,CA_201520160AB736,23,"2015-04-08 00:00:00",6,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB811,23,"2015-04-08 00:00:00",6,0,0,(PASS)
147529,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",1,CA_201520160AB991,23,"2015-04-08 00:00:00",6,0,0,(PASS)
147678,"Do pass and be re-referred to the Committee on [Higher Education]",1,CA_201520160AB1066,23,"2015-04-08 00:00:00",6,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB38,13,"2015-04-07 00:00:00",12,1,0,(PASS)
147667,"Do pass and be re-referred to the Committee on [Health]",1,CA_201520160AB176,13,"2015-04-07 00:00:00",12,1,0,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB206,13,"2015-04-07 00:00:00",9,2,0,(PASS)
147679,"Do pass and be re-referred to the Committee on [Education]",1,CA_201520160AB288,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147680,"Do pass and be re-referred to the Committee on [Veterans Affairs]",1,CA_201520160AB393,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB404,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147508,"Do pass as amended and be re-referred to the Committee on [Veterans Affairs]",1,CA_201520160AB421,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB458,13,"2015-04-07 00:00:00",11,1,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB542,13,"2015-04-07 00:00:00",13,0,0,(PASS)
147572,"Do pass and be re-referred to the Committee on [Public Safety]",1,CA_201520160AB636,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB653,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB716,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147519,"Do pass as amended and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB721,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB767,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB831,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB837,13,"2015-04-07 00:00:00",10,3,0,(PASS)
147681,"Do pass as amended and be re-referred to the Committee on [Education]",1,CA_201520160AB889,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147682,"Do pass as amended and be re-referred to the Committee on [Public Safety]",1,CA_201520160AB913,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB968,13,"2015-04-07 00:00:00",12,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB17,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB25,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147657,"Do pass and be ordered to the Consent Calendar",1,CA_201520160SB181,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147657,"Do pass and be ordered to the Consent Calendar",1,CA_201520160SB182,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147657,"Do pass and be ordered to the Consent Calendar",1,CA_201520160SB183,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147628,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",1,CA_201520160SB188,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147619,"Do pass as amended",1,CA_201520160SB222,54,"2015-04-08 00:00:00",6,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB250,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB324,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB598,54,"2015-04-08 00:00:00",7,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB3,60,"2015-04-08 00:00:00",4,1,0,(PASS)
147633,"Do pass",1,CA_201520160SB432,60,"2015-04-08 00:00:00",5,0,0,(PASS)
147633,"Do pass",1,CA_201520160SB559,60,"2015-04-08 00:00:00",5,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB599,60,"2015-04-08 00:00:00",4,1,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB623,60,"2015-04-08 00:00:00",5,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB429,50,"2015-04-08 00:00:00",7,1,0,(PASS)
147622,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",1,CA_201520160SB436,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147683,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]  with the recommendation: To Consent Calendar",1,CA_201520160SB445,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147683,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]  with the recommendation: To Consent Calendar",1,CA_201520160SB597,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB618,50,"2015-04-08 00:00:00",7,1,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB645,50,"2015-04-08 00:00:00",7,1,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB705,50,"2015-04-08 00:00:00",6,2,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB750,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB791,50,"2015-04-08 00:00:00",8,0,0,(PASS)
147692,"Unfinished Business SJR2 Vidak Concurrence",0,CA_201520160SJR2,452,"2015-04-09 10:00:00",39,0,0,(PASS)
147693,"Senate 3rd Reading SR17 Jackson",0,CA_201520160SR17,452,"2015-04-09 10:08:00",27,7,5,(PASS)
147694,"Senate 3rd Reading SB35 Wolk",0,CA_201520160SB35,452,"2015-04-09 10:11:00",38,0,1,(PASS)
147695,"Senate 3rd Reading SB266 Block",0,CA_201520160SB266,452,"2015-04-09 10:16:00",36,1,2,(PASS)
147696,"Senate 3rd Reading SJR3 McGuire",0,CA_201520160SJR3,452,"2015-04-09 10:20:00",25,12,2,(PASS)
147697,"Assembly 3rd Reading ACR17 Chang By Fuller",0,CA_201520160ACR17,452,"2015-04-09 10:26:00",38,0,1,(PASS)
147698,"Consent Calendar 2nd SB146 Galgiani Urgency Clause",0,CA_201520160SB146,452,"2015-04-09 10:29:00",38,0,1,(PASS)
147718,"Placed on suspense file",0,CA_201520160SB23,46,"2015-04-13 00:00:00",7,0,0,(PASS)
147718,"Placed on suspense file",0,CA_201520160SB47,46,"2015-04-13 00:00:00",7,0,0,(PASS)
147633,"Do pass",1,CA_201520160SB125,46,"2015-04-13 00:00:00",6,0,0,(PASS)
147718,"Placed on suspense file",0,CA_201520160SB144,46,"2015-04-13 00:00:00",7,0,0,(PASS)
147718,"Placed on suspense file",0,CA_201520160SB234,46,"2015-04-13 00:00:00",7,0,0,(PASS)
147718,"Placed on suspense file",0,CA_201520160SB237,46,"2015-04-13 00:00:00",7,0,0,(PASS)
147725,"Be re-referred to the Committee on [Human Services]",0,CA_201520160AB474,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147719,"Be re-referred to the Committee on [Judiciary]",0,CA_201520160AB525,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147726,"Be re-referred to the Committee on [Natural Resources]",0,CA_201520160AB577,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147727,"Be re-referred to the Committee on [Utilities and Commerce]",0,CA_201520160AB802,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147723,"Be re-referred to the Committee on [Revenue and Taxation]",0,CA_201520160AB1247,26,"2015-04-09 00:00:00",11,0,0,(PASS)
147720,"Be re-referred to the Committee on [Elections and Redistricting]",0,CA_201520160AB1443,26,"2015-04-09 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR50,26,"2015-04-09 00:00:00",7,0,0,(PASS)
147493,"Be adopted. To Consent Calendar.",0,CA_201520160SCR29,26,"2015-04-09 00:00:00",11,0,0,(PASS)
147493,"Be adopted. To Consent Calendar.",0,CA_201520160SCR31,26,"2015-04-09 00:00:00",11,0,0,(PASS)
147724,"Be re-referred to the Committee on [Local Government]",0,CA_201520160AB57,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147720,"Be re-referred to the Committee on [Elections and Redistricting]",0,CA_201520160AB884,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147728,"Be re-referred to the Committee on [Governmental Organization]",0,CA_201520160AB1189,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147729,"Be re-referred to the Committee on [Privacy and Consumer Protection]",0,CA_201520160AB1192,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147730,"Be re-referred to the Committee on [Transportation]",0,CA_201520160AB1461,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160ACR34,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147493,"Be adopted. To Consent Calendar.",0,CA_201520160ACR51,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160HR15,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147491,"Be adopted. To third reading.",0,CA_201520160SCR32,26,"2015-04-13 00:00:00",11,0,0,(PASS)
147745,"Senate 3rd Reading SB559 Block",0,CA_201520160SB559,452,"2015-04-13 14:47:00",28,3,8,(PASS)
147523,"Do pass. To Consent Calendar.",1,CA_201520160AB283,445,"2015-04-13 00:00:00",11,0,0,(PASS)
147625,"Do pass and be re-referred to the Committee on [Revenue and Taxation]",1,CA_201520160AB557,445,"2015-04-13 00:00:00",11,0,0,(PASS)
147510,"Do pass and be re-referred to the Committee on [Appropriations]",1,CA_201520160AB1292,445,"2015-04-13 00:00:00",11,0,0,(PASS)
147690,"Do pass and be re-referred to the Committee on [Jobs, Economic Development, and the Economy]",1,CA_201520160AB1393,445,"2015-04-13 00:00:00",11,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB644,62,"2015-04-13 00:00:00",5,0,0,(PASS)
147573,"Do pass and be re-referred to the Committee on [Local Government]",1,CA_201520160AB464,25,"2015-04-13 00:00:00",5,3,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB686,62,"2015-04-13 00:00:00",4,1,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB780,62,"2015-04-13 00:00:00",3,1,0,(PASS)
147618,"Be adopted. Ordered to third reading",0,CA_201520160SJR1,62,"2015-04-13 00:00:00",4,1,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB185,62,"2015-04-13 00:00:00",3,2,0,(PASS)
147622,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",1,CA_201520160SB216,62,"2015-04-13 00:00:00",5,0,0,(PASS)
147517,"Do pass, but first be re-referred to the Committee on [Appropriations]",1,CA_201520160SB560,49,"2015-04-13 00:00:00",9,0,0,(PASS)
147504,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",1,CA_201520160SB620,49,"2015-04-13 00:00:00",9,0,0,(PASS)
147518,"Do pass, but first be re-referred to the Committee on [Health]",1,CA_201520160SB671,49,"2015-04-13 00:00:00",7,0,0,(PASS)
147620,"Do pass, but first be re-referred to the Committee on [Environmental Quality]",1,CA_201520160SB763,49,"2015-04-13 00:00:00",5,2,0,(PASS)
147748,"Do pass, but first be re-referred to the Committee on [Judiciary] with the recommendation: To Consent Calendar",1,CA_201520160SB177,49,"2015-04-13 00:00:00",9,0,0,(PASS)
