vid,bid,date,billState,subject,state
CA_20150AB100397AMD,CA_201520160AB1003,2015-04-22,"Amended Assembly","Mental health: sexually violent predators.",CA
CA_20150AB100398AMD,CA_201520160AB1003,2015-03-26,"Amended Assembly","Mental health: Sexually violent predators.",CA
CA_20150AB100399INT,CA_201520160AB1003,2015-02-26,Introduced,"Mental health: State Department of State Hospitals.",CA
CA_20150AB100495CHP,CA_201520160AB1004,2015-08-10,Chaptered,"California Tahoe Conservancy.",CA
CA_20150AB100496ENR,CA_201520160AB1004,2015-07-13,Enrolled,"California Tahoe Conservancy.",CA
CA_20150AB100497AMD,CA_201520160AB1004,2015-05-14,"Amended Assembly","California Tahoe Conservancy.",CA
CA_20150AB100498AMD,CA_201520160AB1004,2015-04-20,"Amended Assembly","California Tahoe Conservancy.",CA
CA_20150AB100499INT,CA_201520160AB1004,2015-02-26,Introduced,"California Tahoe Conservancy.",CA
CA_20150AB100593CHP,CA_201520160AB1005,2016-09-22,Chaptered,"California Beverage Container Recycling and Litter Reduction Act: market development payments.",CA
CA_20150AB100594ENR,CA_201520160AB1005,2016-08-29,Enrolled,"California Beverage Container Recycling and Litter Reduction Act: market development payments.",CA
CA_20150AB100595AMD,CA_201520160AB1005,2016-08-15,"Amended Senate","California Beverage Container Recycling and Litter Reduction Act: market development payments.",CA
CA_20150AB100596AMD,CA_201520160AB1005,2016-06-14,"Amended Senate","California Beverage Container Recycling and Litter Reduction Act: market development payments.",CA
CA_20150AB100597AMD,CA_201520160AB1005,2016-01-04,"Amended Assembly","California Beverage Container Recycling and Litter Reduction Act: market development payments.",CA
CA_20150AB100598AMD,CA_201520160AB1005,2015-03-26,"Amended Assembly","Electric vehicles: infrastructure: charging systems.",CA
CA_20150AB100599INT,CA_201520160AB1005,2015-02-26,Introduced,"Electric vehicles: charging systems.",CA
CA_20150AB100698AMD,CA_201520160AB1006,2015-04-21,"Amended Assembly","Prisoners: mental health treatment.",CA
CA_20150AB100699INT,CA_201520160AB1006,2015-02-26,Introduced,"Prisoners: mental health treatment.",CA
CA_20150AB100798AMD,CA_201520160AB1007,2015-03-26,"Amended Assembly","Minimum wage.",CA
CA_20150AB100799INT,CA_201520160AB1007,2015-02-26,Introduced,"Minimum wage.",CA
CA_20150AB100897CHP,CA_201520160AB1008,2015-07-15,Chaptered,"Public utilities: sale of hydrogen to public as a motor vehicle fuel.",CA
CA_20150AB100898ENR,CA_201520160AB1008,2015-07-02,Enrolled,"Public utilities: sale of hydrogen to public as a motor vehicle fuel.",CA
CA_20150AB100899INT,CA_201520160AB1008,2015-02-26,Introduced,"Public utilities: sale of hydrogen to public as a motor vehicle fuel.",CA
CA_20150AB10097AMD,CA_201520160AB100,2016-01-04,"Amended Assembly","Pupil instruction: ethnic studies.",CA
CA_20150AB10098AMD,CA_201520160AB100,2015-04-22,"Amended Assembly","California Law Fellowship Program.",CA
CA_20150AB100999INT,CA_201520160AB1009,2015-02-26,Introduced,"Local government: redevelopment: revenues from property tax override rates.",CA
CA_20150AB10099INT,CA_201520160AB100,2015-01-08,Introduced,"California Law Fellowship Program.",CA
CA_20150AB101097AMD,CA_201520160AB1010,2015-04-27,"Amended Assembly","Community colleges: part-time, temporary employees.",CA
CA_20150AB101098AMD,CA_201520160AB1010,2015-04-09,"Amended Assembly","Community colleges: part-time, temporary employees.",CA
CA_20150AB101099INT,CA_201520160AB1010,2015-02-26,Introduced,"Community colleges: part-time, temporary employees.",CA
CA_20150AB101197AMD,CA_201520160AB1011,2015-04-14,"Amended Assembly"," Department of Transportation: transfer of vacant property.",CA
CA_20150AB101198AMD,CA_201520160AB1011,2015-03-26,"Amended Assembly","State property: Los Angeles.",CA
CA_20150AB101199INT,CA_201520160AB1011,2015-02-26,Introduced,"State property: sale.",CA
CA_20150AB101292CHP,CA_201520160AB1012,2015-10-09,Chaptered,"Pupil instruction: course periods without educational content.",CA
CA_20150AB101293ENR,CA_201520160AB1012,2015-09-11,Enrolled,"Pupil instruction: course periods without educational content.",CA
CA_20150AB101294AMD,CA_201520160AB1012,2015-09-03,"Amended Senate","Pupil instruction: course periods without educational content.",CA
CA_20150AB101295AMD,CA_201520160AB1012,2015-07-15,"Amended Senate","Pupil instruction: course periods without educational content.",CA
CA_20150AB101296AMD,CA_201520160AB1012,2015-06-01,"Amended Assembly","Pupil instruction: course periods without educational content.",CA
CA_20150AB101297AMD,CA_201520160AB1012,2015-05-06,"Amended Assembly","Pupil instruction: course periods without educational content.",CA
CA_20150AB101298AMD,CA_201520160AB1012,2015-04-07,"Amended Assembly","Pupil instruction: course periods without educational content.",CA
CA_20150AB101299INT,CA_201520160AB1012,2015-02-26,Introduced,"Pupil instruction: course periods without educational content.",CA
CA_20150AB101398AMD,CA_201520160AB1013,2015-06-19,"Amended Senate","Energy: public domain computer program: home energy rating.",CA
CA_20150AB101399INT,CA_201520160AB1013,2015-02-26,Introduced,"Energy: public domain computer program: home energy rating.",CA
CA_20150AB101491CHP,CA_201520160AB1014,2016-09-21,Chaptered,"Education finance: Safe Neighborhoods and Schools Fund: Learning Communities for School Success Program.",CA
CA_20150AB101492ENR,CA_201520160AB1014,2016-08-26,Enrolled,"Education finance: Safe Neighborhoods and Schools Fund: Learning Communities for School Success Program.",CA
CA_20150AB101493AMD,CA_201520160AB1014,2016-08-15,"Amended Senate","Education finance: Safe Neighborhoods and Schools Fund: Learning Communities for School Success Program.",CA
CA_20150AB101494AMD,CA_201520160AB1014,2016-06-23,"Amended Senate","Education finance: Safe Neighborhoods and Schools Fund: Learning Communities for School Success Program.",CA
CA_20150AB101495AMD,CA_201520160AB1014,2015-09-01,"Amended Senate","Pupils: truancy: Our Children’s Success–The Early Intervention Attendance Pilot Grant Program.",CA
CA_20150AB101496AMD,CA_201520160AB1014,2015-06-01,"Amended Assembly","Pupils: truancy: Our Children’s Success–The Early Intervention Attendance Pilot Grant Program.",CA
CA_20150AB101497AMD,CA_201520160AB1014,2015-05-04,"Amended Assembly","Pupils: truancy: Our Children’s Success–The Early Intervention Attendance Pilot Grant Program.",CA
CA_20150AB101498AMD,CA_201520160AB1014,2015-03-26,"Amended Assembly","Pupils: truancy: Our Children’s Success–The Early Intervention Attendance Grant Program.",CA
CA_20150AB101499INT,CA_201520160AB1014,2015-02-26,Introduced,"Pupils: truancy.",CA
CA_20150AB101596CHP,CA_201520160AB1015,2015-07-02,Chaptered,"Parking: car share vehicles.",CA
CA_20150AB101597ENR,CA_201520160AB1015,2015-06-19,Enrolled,"Parking: car share vehicles.",CA
CA_20150AB101598AMD,CA_201520160AB1015,2015-04-23,"Amended Assembly","Parking: car share vehicles.",CA
CA_20150AB101599INT,CA_201520160AB1015,2015-02-26,Introduced,"Parking: car share vehicles.",CA
CA_20150AB101693CHP,CA_201520160AB1016,2015-10-02,Chaptered,"Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101694ENR,CA_201520160AB1016,2015-08-31,Enrolled,"Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101695AMD,CA_201520160AB1016,2015-07-08,"Amended Senate","Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101696AMD,CA_201520160AB1016,2015-06-30,"Amended Senate","Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101697AMD,CA_201520160AB1016,2015-05-28,"Amended Assembly","Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101698AMD,CA_201520160AB1016,2015-04-13,"Amended Assembly","Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101699INT,CA_201520160AB1016,2015-02-26,Introduced,"Public postsecondary education: Student Transfer Achievement Reform Act.",CA
CA_20150AB101793ENR,CA_201520160AB1017,2015-09-08,Enrolled,Employers.,CA
CA_20150AB101794AMD,CA_201520160AB1017,2015-08-24,"Amended Senate",Employers.,CA
CA_20150AB101795AMD,CA_201520160AB1017,2015-07-08,"Amended Senate",Employers.,CA
CA_20150AB101796AMD,CA_201520160AB1017,2015-05-18,"Amended Assembly",Employers.,CA
CA_20150AB101797AMD,CA_201520160AB1017,2015-04-16,"Amended Assembly",Employers.,CA
CA_20150AB101798AMD,CA_201520160AB1017,2015-03-26,"Amended Assembly","Discrimination: equal pay: state contracting.",CA
CA_20150AB101799INT,CA_201520160AB1017,2015-02-26,Introduced,"Wages: gender pay equity.",CA
CA_20150AB101897AMD,CA_201520160AB1018,2015-05-28,"Amended Assembly","Medi-Cal: Early and Periodic Screening, Diagnosis, and Treatment (EPSDT).",CA
CA_20150AB101898AMD,CA_201520160AB1018,2015-04-13,"Amended Assembly","Medi-Cal: Early and Periodic Screening, Diagnosis, and Treatment (EPSDT).",CA
CA_20150AB101899INT,CA_201520160AB1018,2015-02-26,Introduced,"Medi-Cal: Early and Periodic Screening, Diagnosis, and Treatment (EPSDT).",CA
CA_20150AB10194ENR,CA_201520160AB101,2015-09-14,Enrolled,"Pupil instruction: ethnic studies.",CA
CA_20150AB10195AMD,CA_201520160AB101,2015-09-01,"Amended Senate","Pupil instruction: ethnic studies.",CA
CA_20150AB10196AMD,CA_201520160AB101,2015-06-01,"Amended Assembly","Pupil instruction: ethnic studies.",CA
CA_20150AB10197AMD,CA_201520160AB101,2015-03-18,"Amended Assembly","Pupil instruction: ethnic studies.",CA
CA_20150AB10198AMD,CA_201520160AB101,2015-01-26,"Amended Assembly","Pupil instruction: ethnic studies.",CA
CA_20150AB101999INT,CA_201520160AB1019,2015-02-26,Introduced,"Metal theft and related recycling crimes.",CA
CA_20150AB10199INT,CA_201520160AB101,2015-01-08,Introduced,"State educational programs: educational advisory bodies.",CA
CA_20150AB102094CHP,CA_201520160AB1020,2015-10-10,Chaptered,"Elections: voter registration.",CA
CA_20150AB102095ENR,CA_201520160AB1020,2015-09-14,Enrolled,"Elections: voter registration.",CA
CA_20150AB102096AMD,CA_201520160AB1020,2015-09-01,"Amended Senate","Elections: voter registration.",CA
CA_20150AB102097AMD,CA_201520160AB1020,2015-08-17,"Amended Senate","Elections: voter registration.",CA
CA_20150AB102098AMD,CA_201520160AB1020,2015-07-01,"Amended Senate","Elections: voter registration.",CA
CA_20150AB102099INT,CA_201520160AB1020,2015-02-26,Introduced,"Elections: voter registration.",CA
CA_20150AB102197AMD,CA_201520160AB1021,2015-05-07,"Amended Assembly","Sales and use taxes: smartphones: bundled transactions.",CA
CA_20150AB102198AMD,CA_201520160AB1021,2015-03-26,"Amended Assembly","Sales and use taxes: smartphones: bundled transactions.",CA
CA_20150AB102199INT,CA_201520160AB1021,2015-02-26,Introduced,"Personal income taxes.",CA
CA_20150AB102298AMD,CA_201520160AB1022,2015-03-26,"Amended Assembly","Solar Water Heating and Efficiency Act of 2007.",CA
CA_20150AB102299INT,CA_201520160AB1022,2015-02-26,Introduced,"Net energy metering.",CA
CA_20150AB102395ENR,CA_201520160AB1023,2015-09-16,Enrolled,"Public Utilities Commission: proceedings: ex parte communications.",CA
CA_20150AB102396AMD,CA_201520160AB1023,2015-09-04,"Amended Senate","Public Utilities Commission: proceedings: ex parte communications.",CA
CA_20150AB102397AMD,CA_201520160AB1023,2015-08-18,"Amended Senate","Public Utilities Commission: proceedings: ex parte communications.",CA
CA_20150AB102398AMD,CA_201520160AB1023,2015-04-20,"Amended Assembly","Public Utilities Commission: proceedings: ex parte communications.",CA
CA_20150AB102399INT,CA_201520160AB1023,2015-02-26,Introduced,"Public Utilities Commission: proceedings: ex parte communications.",CA
CA_20150AB102495CHP,CA_201520160AB1024,2015-10-06,Chaptered,"Driving schools.",CA
CA_20150AB102496ENR,CA_201520160AB1024,2015-09-08,Enrolled,"Driving schools.",CA
CA_20150AB102497AMD,CA_201520160AB1024,2015-06-18,"Amended Senate","Driving schools.",CA
CA_20150AB102498AMD,CA_201520160AB1024,2015-04-14,"Amended Assembly","Driving schools.",CA
CA_20150AB102499INT,CA_201520160AB1024,2015-02-26,Introduced,"Driving schools.",CA
CA_20150AB102595AMD,CA_201520160AB1025,2015-08-18,"Amended Senate","Pupil health: multitiered and integrated interventions pilot program.",CA
CA_20150AB102596AMD,CA_201520160AB1025,2015-06-02,"Amended Assembly","Pupil health: multitiered and integrated interventions pilot program.",CA
CA_20150AB102597AMD,CA_201520160AB1025,2015-05-06,"Amended Assembly","Pupil health: multitiered and integrated interventions pilot program.",CA
CA_20150AB102598AMD,CA_201520160AB1025,2015-04-06,"Amended Assembly","Pupil health: multitiered and integrated interventions pilot program.",CA
CA_20150AB102599INT,CA_201520160AB1025,2015-02-26,Introduced,"Pupil health: multitiered and integrated interventions pilot program.",CA
CA_20150AB102699INT,CA_201520160AB1026,2015-02-26,Introduced,"Secretary of State: elections: voter turnout.",CA
CA_20150AB102798AMD,CA_201520160AB1027,2015-03-26,"Amended Assembly","Health care coverage: contracted rates: disclosure to consumers.",CA
CA_20150AB102799INT,CA_201520160AB1027,2015-02-26,Introduced,"Automobile insurance coverage: medical transportation services.",CA
CA_20150AB102896CHP,CA_201520160AB1028,2015-09-21,Chaptered,"Judicial officers: oaths and affirmations.",CA
CA_20150AB102897ENR,CA_201520160AB1028,2015-09-03,Enrolled,"Judicial officers: oaths and affirmations.",CA
CA_20150AB102898AMD,CA_201520160AB1028,2015-05-13,"Amended Assembly","Judicial officers: oaths and affirmations.",CA
CA_20150AB102899INT,CA_201520160AB1028,2015-02-26,Introduced,"Judicial officers: oaths and affirmations.",CA
CA_20150AB10298AMD,CA_201520160AB102,2015-03-26,"Amended Assembly","Railroad and surface transportation safety and emergency planning and response: hazardous materials.",CA
CA_20150AB102996AMD,CA_201520160AB1029,2016-06-21,"Amended Senate","Veterans: service providers.",CA
CA_20150AB102997AMD,CA_201520160AB1029,2015-05-18,"Amended Assembly","Veterans: service providers.",CA
CA_20150AB102998AMD,CA_201520160AB1029,2015-04-23,"Amended Assembly","Veterans: service providers.",CA
CA_20150AB102999INT,CA_201520160AB1029,2015-02-26,Introduced,"Veterans: service providers.",CA
CA_20150AB10299INT,CA_201520160AB102,2015-01-08,Introduced,"Railroad safety and emergency planning and response.",CA
CA_20150AB103097AMD,CA_201520160AB1030,2015-07-07,"Amended Senate","California Global Warming Solutions Act of 2006: Greenhouse Gas Reduction Fund.",CA
CA_20150AB103098AMD,CA_201520160AB1030,2015-05-05,"Amended Assembly","California Global Warming Solutions Act of 2006: Greenhouse Gas Reduction Fund.",CA
CA_20150AB103099INT,CA_201520160AB1030,2015-02-26,Introduced,"California Global Warming Solutions Act of 2006: Greenhouse Gas Reduction Fund.",CA
CA_20150AB103197ENR,CA_201520160AB1031,2015-09-09,Enrolled,"Public Employees’ Medical and Hospital Care Act: contracting entities.",CA
CA_20150AB103198AMD,CA_201520160AB1031,2015-06-22,"Amended Senate","Public Employees’ Medical and Hospital Care Act: contracting entities.",CA
CA_20150AB103199INT,CA_201520160AB1031,2015-02-26,Introduced,"Public Employees’ Medical and Hospital Care Act: contracting entities.",CA
CA_20150AB103297CHP,CA_201520160AB1032,2015-10-04,Chaptered,"Diesel Fuel Tax Law: reimbursements.",CA
CA_20150AB103298ENR,CA_201520160AB1032,2015-09-04,Enrolled,"Diesel Fuel Tax Law: reimbursements.",CA
CA_20150AB103299INT,CA_201520160AB1032,2015-02-26,Introduced,"Diesel Fuel Tax Law: reimbursements.",CA
CA_20150AB103394CHP,CA_201520160AB1033,2016-09-14,Chaptered,"Economic impact assessment: small business definition.",CA
CA_20150AB103395ENR,CA_201520160AB1033,2016-08-23,Enrolled,"Economic impact assessment: small business definition.",CA
CA_20150AB103396AMD,CA_201520160AB1033,2016-05-02,"Amended Senate","Economic impact assessment: small business definition.",CA
CA_20150AB103397AMD,CA_201520160AB1033,2016-02-08,"Amended Senate","Economic impact assessment: small business definition.",CA
CA_20150AB103398AMD,CA_201520160AB1033,2016-01-04,"Amended Assembly","Economic impact analysis: small business definition.",CA
CA_20150AB103399INT,CA_201520160AB1033,2015-02-26,Introduced,"Infrastructure financing.",CA
CA_20150AB103492CHP,CA_201520160AB1034,2015-10-08,Chaptered,"Surface mining: reclamation plans: renewable energy generation facility.",CA
CA_20150AB103493ENR,CA_201520160AB1034,2015-09-02,Enrolled,"Surface mining: reclamation plans: renewable energy generation facility.",CA
CA_20150AB103494AMD,CA_201520160AB1034,2015-08-18,"Amended Senate","Surface mining: reclamation plans: renewable energy generation facility.",CA
CA_20150AB103495AMD,CA_201520160AB1034,2015-07-16,"Amended Senate","Surface mining: reclamation plans: commercial renewable energy generation facility.",CA
CA_20150AB103496AMD,CA_201520160AB1034,2015-06-24,"Amended Senate","Surface mining: reclamation plans: renewable energy generation facility.",CA
CA_20150AB103497AMD,CA_201520160AB1034,2015-05-05,"Amended Assembly","Surface mining: reclamation plans: renewable energy generation facility.",CA
CA_20150AB103498AMD,CA_201520160AB1034,2015-04-21,"Amended Assembly","Surface mining: reclamation plans: renewable energy generation facility.",CA
CA_20150AB103499INT,CA_201520160AB1034,2015-02-26,Introduced,"Surface mining and reclamation plans: exemption.",CA
CA_20150AB103598AMD,CA_201520160AB1035,2015-03-26,"Amended Assembly","Alcoholic beverages: nonprofits: auctions: licenses.",CA
CA_20150AB103599INT,CA_201520160AB1035,2015-02-26,Introduced,"Alcoholic beverages: temporary licenses.",CA
CA_20150AB103696CHP,CA_201520160AB1036,2015-07-02,Chaptered,"Notaries public: acceptance of identification.",CA
CA_20150AB103697ENR,CA_201520160AB1036,2015-06-19,Enrolled,"Notaries public: acceptance of identification.",CA
CA_20150AB103698AMD,CA_201520160AB1036,2015-04-09,"Amended Assembly","Notaries public: acceptance of identification.",CA
CA_20150AB103699INT,CA_201520160AB1036,2015-02-26,Introduced,"Notaries public: acceptance of identification.",CA
CA_20150AB103799INT,CA_201520160AB1037,2015-02-26,Introduced,"Trust proceedings.",CA
CA_20150AB103899INT,CA_201520160AB1038,2015-02-26,Introduced,"Employment: flexible work schedules.",CA
CA_20150AB10398AMD,CA_201520160AB103,2015-05-27,"Amended Assembly","Budget Act of 2015.",CA
CA_20150AB103996CHP,CA_201520160AB1039,2015-09-01,Chaptered,"Fertilizing materials: violations: administrative penalty: filing of final judgment. ",CA
CA_20150AB103997ENR,CA_201520160AB1039,2015-08-21,Enrolled,"Fertilizing materials: violations: administrative penalty: filing of final judgment. ",CA
CA_20150AB103998AMD,CA_201520160AB1039,2015-04-21,"Amended Assembly","Fertilizing materials: violations: administrative penalty: filing of final judgment. ",CA
CA_20150AB103999INT,CA_201520160AB1039,2015-02-26,Introduced,"Pest control: biological control organisms.",CA
CA_20150AB10399INT,CA_201520160AB103,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB104098AMD,CA_201520160AB1040,2015-07-06,"Amended Senate","Property taxation: change in ownership.",CA
CA_20150AB104099INT,CA_201520160AB1040,2015-02-26,Introduced,"Franchise Tax Board: federal tax law changes: report.",CA
CA_20150AB104199INT,CA_201520160AB1041,2015-02-26,Introduced,"Personal income taxes: education savings accounts.",CA
CA_20150AB104293ENR,CA_201520160AB1042,2015-09-14,Enrolled,"Proprietary security services.",CA
CA_20150AB104294AMD,CA_201520160AB1042,2015-09-04,"Amended Senate","Proprietary security services.",CA
CA_20150AB104295AMD,CA_201520160AB1042,2015-08-18,"Amended Senate","Proprietary security services.",CA
CA_20150AB104296AMD,CA_201520160AB1042,2015-06-23,"Amended Senate","Proprietary security services.",CA
CA_20150AB104297AMD,CA_201520160AB1042,2015-05-18,"Amended Assembly","Proprietary security services.",CA
CA_20150AB104298AMD,CA_201520160AB1042,2015-04-20,"Amended Assembly","Proprietary security services.",CA
CA_20150AB104299INT,CA_201520160AB1042,2015-02-26,Introduced,"Proprietary security services.",CA
CA_20150AB104398ENR,CA_201520160AB1043,2015-09-10,Enrolled,"Highways: State Highway Route 43.",CA
CA_20150AB104399INT,CA_201520160AB1043,2015-02-26,Introduced,"Highways: State Highway Route 43.",CA
CA_20150AB104499INT,CA_201520160AB1044,2015-02-26,Introduced,"School employees: reduction in workforce.",CA
CA_20150AB104592CHP,CA_201520160AB1045,2015-10-08,Chaptered,"Organic waste: composting.",CA
CA_20150AB104593ENR,CA_201520160AB1045,2015-09-14,Enrolled,"Organic waste: composting.",CA
CA_20150AB104594AMD,CA_201520160AB1045,2015-09-04,"Amended Senate","Organic waste: composting.",CA
CA_20150AB104595AMD,CA_201520160AB1045,2015-08-17,"Amended Senate","Organic waste: composting.",CA
CA_20150AB104596AMD,CA_201520160AB1045,2015-07-02,"Amended Senate","Organic waste: composting.",CA
CA_20150AB104597AMD,CA_201520160AB1045,2015-04-20,"Amended Assembly","Organic waste: composting.",CA
CA_20150AB104598AMD,CA_201520160AB1045,2015-03-26,"Amended Assembly","Organic waste: composting.",CA
CA_20150AB104599INT,CA_201520160AB1045,2015-02-26,Introduced,"Composting facilities: streamline permitting and regulation. ",CA
CA_20150AB104698AMD,CA_201520160AB1046,2015-04-07,"Amended Assembly","Hospitals: community benefits.",CA
CA_20150AB104699INT,CA_201520160AB1046,2015-02-26,Introduced,"Hospitals: community benefits.",CA
CA_20150AB104799INT,CA_201520160AB1047,2015-02-26,Introduced,"Dams and reservoirs: fees.",CA
CA_20150AB104899INT,CA_201520160AB1048,2015-02-26,Introduced,"School finance: school districts: annual budgets: reserve balance.",CA
CA_20150AB10496CHP,CA_201520160AB104,2015-06-24,Chaptered,"Education finance: education omnibus trailer bill.",CA
CA_20150AB10497ENR,CA_201520160AB104,2015-06-19,Enrolled,"Education finance: education omnibus trailer bill.",CA
CA_20150AB10498AMD,CA_201520160AB104,2015-06-16,"Amended Senate","Education finance: education omnibus trailer bill.",CA
CA_20150AB104996CHP,CA_201520160AB1049,2015-07-14,Chaptered,"Parent and child relationship. ",CA
CA_20150AB104997ENR,CA_201520160AB1049,2015-06-29,Enrolled,"Parent and child relationship. ",CA
CA_20150AB104998AMD,CA_201520160AB1049,2015-04-22,"Amended Assembly","Parent and child relationship. ",CA
CA_20150AB104999INT,CA_201520160AB1049,2015-02-26,Introduced,"Parent and child relationship. ",CA
CA_20150AB10499INT,CA_201520160AB104,2015-01-09,Introduced,"Budget Act of 2015.",CA
CA_20150AB105095ENR,CA_201520160AB1050,2016-08-31,Enrolled,"Occupational safety and health: permanent variances.",CA
CA_20150AB105096AMD,CA_201520160AB1050,2016-02-10,"Amended Senate","Occupational safety and health: permanent variances.",CA
CA_20150AB105097AMD,CA_201520160AB1050,2015-07-07,"Amended Senate","State employees: charitable deductions.",CA
CA_20150AB105098AMD,CA_201520160AB1050,2015-04-21,"Amended Assembly","State employees: charitable deductions.",CA
CA_20150AB105099INT,CA_201520160AB1050,2015-02-26,Introduced,"State employees: charitable deductions.",CA
CA_20150AB105194AMD,CA_201520160AB1051,2016-08-02,"Amended Senate","Denti-Cal program: reimbursement rates.",CA
CA_20150AB105195AMD,CA_201520160AB1051,2016-05-03,"Amended Senate","Denti-Cal program.",CA
CA_20150AB105196AMD,CA_201520160AB1051,2015-07-15,"Amended Senate","Human trafficking.",CA
CA_20150AB105197AMD,CA_201520160AB1051,2015-05-04,"Amended Assembly","Human trafficking.",CA
CA_20150AB105198AMD,CA_201520160AB1051,2015-04-20,"Amended Assembly","Human trafficking.",CA
CA_20150AB105199INT,CA_201520160AB1051,2015-02-26,Introduced,"Human trafficking.",CA
CA_20150AB105296AMD,CA_201520160AB1052,2016-08-19,"Amended Senate","State Teachers’ Retirement System: board of administration: investments.",CA
CA_20150AB105297AMD,CA_201520160AB1052,2015-08-17,"Amended Senate","Retirement board authority: investments.",CA
CA_20150AB105298AMD,CA_201520160AB1052,2015-07-06,"Amended Senate","Retirement board authority: investments.",CA
CA_20150AB105299INT,CA_201520160AB1052,2015-02-26,Introduced,"Retirement board authority: investments.",CA
CA_20150AB105398AMD,CA_201520160AB1053,2015-03-26,"Amended Assembly"," Certificates of death: veterans.",CA
CA_20150AB105399INT,CA_201520160AB1053,2015-02-26,Introduced,"Military service: benefits.",CA
CA_20150AB105499INT,CA_201520160AB1054,2015-02-26,Introduced,"Home care services: licensing and registration: regional center vendors.",CA
CA_20150AB105599INT,CA_201520160AB1055,2015-02-26,Introduced,"Personal Income Tax Law: exclusion: student loan debt forgiveness: disability and blindness.",CA
CA_20150AB105693CHP,CA_201520160AB1056,2015-10-02,Chaptered,"Second Chance Program.",CA
CA_20150AB105694ENR,CA_201520160AB1056,2015-09-04,Enrolled,"Second Chance Program.",CA
CA_20150AB105695AMD,CA_201520160AB1056,2015-08-31,"Amended Senate","Second Chance Program.",CA
CA_20150AB105696AMD,CA_201520160AB1056,2015-05-21,"Amended Assembly","Second Chance Program.",CA
CA_20150AB105697AMD,CA_201520160AB1056,2015-04-30,"Amended Assembly","Second Chance Program.",CA
CA_20150AB105698AMD,CA_201520160AB1056,2015-04-20,"Amended Assembly","Second Chance Program.",CA
CA_20150AB105699INT,CA_201520160AB1056,2015-02-26,Introduced,"Housing assistance: formerly incarcerated tenants.",CA
CA_20150AB105799INT,CA_201520160AB1057,2015-02-26,Introduced,"Charter schools.",CA
CA_20150AB105895CHP,CA_201520160AB1058,2015-10-10,Chaptered,"Pupil safety: child abuse prevention: training. ",CA
CA_20150AB105896ENR,CA_201520160AB1058,2015-09-16,Enrolled,"Pupil safety: child abuse prevention: training. ",CA
CA_20150AB105897AMD,CA_201520160AB1058,2015-09-04,"Amended Senate","Pupil safety: child abuse prevention: training. ",CA
CA_20150AB105898AMD,CA_201520160AB1058,2015-04-20,"Amended Assembly","Pupil safety: child abuse prevention: training. ",CA
