uid,text,time,endTime,type,alignment,state
63,"And as, you know, Mr. Baum has served on the board with the distinction since 2008 and is currently Vice Chair and I work with Geoff over many years as not only an Assemblymember that when he was at a member and president of the Pasadena City College of Board of Trustees.",702,724,Discussion,Indeterminate,CA
73,"Obviously, he has earned the respect of his Board of Governors Colleagues who elected him recently as Vice Chair. So, I wholeheartedly recommend that you approve and send his appointment to the Senate Floor for confirmation. Thank you for your consideration.",724,739,Discussion,Indeterminate,CA
79,"Tank you very much Senayor Liu. ..So Mr. Baum, you are here before us, before you give us your prepared brief statements if you'd like to take a moment to introduce any family or friends that you have here today.",739,755,Discussion,Indeterminate,CA
85,"Absolutely, thank you Mr. Chairman and Vice Chair Fuller and members of the Committee my ten-year-old daughter is in school today, so she and my wife unable to be here. But, I am pleased that my god daughter is here, Madison Gonzales, who is a freshman at the University of Portland we're very proud of her.",755,772,Testimony,Indeterminate,CA
93,"As I want to acknowledge Mandy being here.  Mr chairman when I was first appointed, can I go forward? When I was first appointed to the Community Colleges Board of Governors in 2008 and unanimously confirmed 2009, California was entering its most severe financial crisis since the Great Depression.",772,792,Testimony,Indeterminate,CA
101,"The community colleges were not immune to the budget crisis, at the time, at that time we enrolled more than 2.7 million students the largest system of higher education in United States.",792,804,Testimony,Indeterminate,CA
109,"But due to the budget cuts, colleges slash course offerings, and turned away thousands of students tragically many first-time students graduating high school cannot find classes in which to enroll.",804,818,Testimony,Indeterminate,CA
115,"Within a few years our enrollment dropped below 2.1 million, a loss of 600,000 students, and this was wrong. We needed to take bold action and reversed this decline and keep the promise of access to college for all Californians.",818,833,Testimony,Indeterminate,CA
121,"Especially new high school graduates we didn't just ask for more money, we launched a task force and convened public hearings and conducted extensive research and developed a powerful road map with more than 20 recommendations to improve student access and student success.",833,846,Testimony,Indeterminate,CA
127,"And, thanks to an extraordinary partnership and with support from the state legislature, and specifically the State Senate, and the Governor we've implemented more than half of the recommendations and are on track to complete the entire reform package by the end of this year.",846,864,Testimony,Indeterminate,CA
135,"Another significant accomplishment has been the adoption and implementation of Senate bill 1440 to ensure, ensure transfer access to the California State University system.",864,874,Testimony,Indeterminate,CA
141,"We've worked diligently to ensure that each of the 112 community colleges in the system offer associate degrees for transfer, and working closely with the faculty at California State University.",874,887,Testimony,Indeterminate,CA
145,"Our Colleges now offer more than 1,600 associate degree for transfer programs across a variety of majors. College graduates are guaranteed junior class status when they transfer we call it a degree with the guarantee and in just the second-year which we just completed, of this program, nearly 12,000 students earn these degrees.",887,907,Testimony,Indeterminate,CA
155,"And finally, ensuring affective system leadership is perhaps the most important responsibility we have on the Board of Governors. I participated in the successful recruitment of Brice Harris and have been a staunch supporter of his leadership during some very challenging times over the past two years,",907,923,Testimony,Indeterminate,CA
161,"Part of my desire to seek reappointment is to provide steady leadership support and oversight at the board level for his efforts. On Monday Governor Brown spoke to California's great system higher education, he said while excellence is their business, affordability, and timely completion is their imperative.",923,941,Testimony,Indeterminate,CA
169,"I fully agree and look for to working with you, in partnership with you, to keep the promise of higher education within the reach of all Californians. I respectfully request for support, and thank you again, for this opportunity to appear.",941,957,Testimony,Indeterminate,CA
177,"Thank you very much Mr. Baum.I want to thank you very much for your statement we begin with a handful of questions from the members of the Rules Committee. Let me start off you your tenure it has been quite extensive, six years now. You were first appointed back in 2008 under then-Governor Arnold Schwarzenegger.",957,984,Discussion,Indeterminate,CA
187,"What would you say or some your greatest accomplishments cause you've been there about six years.",984,988,Discussion,Indeterminate,CA
189,"Well, again, the challenge that we face was the economic crisis that really, we slashed budgets and during the Schwarzenegger Administration it was deferrals in revenue. There was a mid-year budget cuts and the colleges had to wrestle with that but we took this crisis as an opportunity to enact some real change within the system.",988,1011,Testimony,Indeterminate,CA
199,"And, we enacted some common sense reforms, that provided students incentives to go through their programs and graduate. But, they also had to perform. Just a few months ago we adopted a new regulation, over half our students, we have the lowest fees in the nation, and even so, more than half students in the system receive a full ride scholarship.",1011,1031,Testimony,Indeterminate,CA
207,"Its called a Board of Governors fee waiver. But, we also felt in order to receive that full ride scholarship, the students need to also invest themselves and perform. So we enacted reform that was not without controversy is that you need to maintain a 2.0 graduation, academic record, in order to quit continue qualify for the full ride scholarship.",1031,1049,Testimony,Indeterminate,CA
215,"If you fall below 2.0 for two consecutive semesters you lose that scholarship. It provides students an incentive but, it also make sure that you are progressing through the system and making room for students that follow.",1049,1064,Testimony,Indeterminate,CA
221,"So those types of reforms have been very important to the system to make it more efficient, but also, improve the, create more spots for students who are graduating to go to college.",1064,1076,Testimony,Indeterminate,CA
237,"Were in 2014 right now what would you qualify as the state of our community college system in California today?",1103,1110,Testimony,Indeterminate,CA
241,"Well it's much brighter, at first off there's increasing cooperation between the three segments of higher education in California. The Cal States, CSU and, the I mean the Cal States, the UCs, and the community colleges. There seems to be a much greater commitment to community colleges providing access to the to education.",1110,1135,Testimony,Indeterminate,CA
251,"And, the thing that we're going to be taking on this year is a, workforce on, a task force on workforce training programs because that's the one unfinished peace from that students success task force that I mentioned. There are some key reforms that can be implemented to enhance workforce programs across the state that partnered with labor, business, and the academic community in order to make sure Californian's have access to the job the training they need to succeed in their careers.",1135,1167,Testimony,Indeterminate,CA
265,"That you mentioned, the collaboration of the three branches of higher education in California, obviously community colleges you're K through 12, or K through 14 in this case, where  Prop 98 dollars are the vast majority dollars.",1167,1180,Discussion,Indeterminate,CA
271,"The UC system as well as the Cal State system have historically been separate entities, separate satellites and there has, it's sort of been a history where there has been very limited collaboration, cooperation and now something  brilliant just happened the left-hand start speaking to the right-hand, and the right-hand starts being the left-hand and all of the sudden folks sort of broke down the walls,",1180,1209,Discussion,Indeterminate,CA
283,"the barriers, the silos and start communicating with each other so in a little bit you know-how that came about and why it took so long to where we could have the three branches of government happen, instead of having vertical integration you had a very balkanized silo'd.",1209,1224,Discussion,Indeterminate,CA
291,"This is my territory here, and we're not working in concert with each other and then I want a few your thoughts because, obviously not everyone's on the track for a four year university and that's okay because I think what we've done is we've created mindset, this environment that lets you off to UC school, Cal State school, or private independent college then you're not a success.",1224,1249,Discussion,Indeterminate,CA
303,"Obviously, I think that with a growing economy in California, us being the 8th largest economy in the world. We do surpass Russia as well as Italy we are on the hill of passing Brazil.",1249,1260,Discussion,Indeterminate,CA
309,"I think the community college system is going to be very critical for the future growth of the State of California for the vast majority of young people who will not attending a four year university.",1260,1272,Discussion,Indeterminate,CA
315,"So, give us a few thoughts obviously on the Cal State integration in terms of communication with community colleges thats separate from that from the four-year degrees concept, you know, the backbone of economic growth and the role that you envision the community colleges playing.",1272,1290,Discussion,Indeterminate,CA
323,"Well I'll address the first one, first. Candidly what provided a framework to make this happen was political leadership and a lot of that leadership came from the California State Senate. For example, Senator Padilla's bill Senate bill 1440, mandated that the community colleges and the Cal State system need to align their programs together.",1290,1309,Testimony,Indeterminate,CA
333,"So for whatever resistance might have been there in the past, the legislature provided powerful incentive to both systems to align their curriculum so that the student graduating with a degree in psychology from Pasadena City College where I served on the board can then enroll, and have the choice in a spot at a Cal State system automatically junior status, and not have to go shopping for the right type of match for their articulation for their programs.",1309,1338,Testimony,Indeterminate,CA
343,"The second thing that played into that was a huge development was the appointment of the new leaders of each of the three segments.",1338,1346,Testimony,Indeterminate,CA
347,"It's unprecedented when our Chancelor Brice Harris came on the scene just over two years ago, and then Tim White became head of the Cal State system, and Janet Napolitano, they both, they all took it with the encouragement of their boards as an opportunity to find ways to partner in interact.",1346,1365,Testimony,Indeterminate,CA
355,"Part of it was political leadership from the legislature, but it's also the personal leadership and commitment exhibited by the leaders of the system that began from day one working together to find ways to align the systems to the benefit of the students.",1365,1382,Testimony,Indeterminate,CA
361,"I agree a 100% is with what you're saying my professional career has been with four-year institutions and research universities, I work at USC.",1382,1390,Testimony,Indeterminate,CA
365,"But, a USC degree while fabulous, is not the answer for every student graduating from high school in California. There are tremendous opportunities in the workforce area, that may not even the two years of education might just needed a year specialized training that the community colleges are very well position to provide.",1390,1414,Testimony,Indeterminate,CA
375,"In so, that's why we're doing this work force taskforce. We're going to have multilateral participation from faculty, from labor, from business, from the legislature, and others to identify those programs that where there's really there are strong job skills needed and how can we design and deliver programs in a cost-effective way to those students .",1414,1439,Testimony,Indeterminate,CA
385,"We were just, our board, when it goes into the field once a year, we were just at the De Anza College in San Jose and we were meeting with the Automotive Technology Division.",1439,1454,Testimony,Indeterminate,CA
391,"There great at taking the students, who maight have had opportunities for minimum wage jobs, and within a year so transforming them into students that are going to earn more and there are more jobs and they can fill since working with local dealerships and other manufacturers into positions that are going pay $20, $30, $40 an hour.",1454,1474,Testimony,Indeterminate,CA
399,"And, they can't keep up with the demand so like to see more of those programs in working with the legislature, finding ways to make it possible for students like to have access to programs like that.",1474,1488,Testimony,Indeterminate,CA
403,"I think it's going to be very critical. Obviously it's going to add to our continued economic growth and I think that the community colleges and the vision that is laid out especially for the kids who will not be attending a four-year university they're going to be critical to the continued economic growth of California.",1488,1505,Discussion,Indeterminate,CA
411,"I want to thank you for comments and open it up for my colleagues here, if Mr. Cannella?",1507,1516,Discussion,Indeterminate,CA
415,"So, actually I had a great discussion with Mr. Baum a couple days ago and he answered all my questions. It seems like he he's very motivated and he's a good choice to be reappointed, so I have no other questions.",1516,1537,Discussion,Indeterminate,CA
423,"Thank you very much. Ms. Leyva? or?",1537,1543,Discussion,Indeterminate,CA
425,"Hello Geoff, it's good to see you again. I just want to congratulate you on your success so far. When we met earlier this week the Degree with a Guarantee program, I think is outstanding. I wasn't familiar with that.",1543,1552,Discussion,Indeterminate,CA
429,"I know we talked, both of us, it's important both of us, career technical education as very important to the constituents in my district, but I think it's pretty important to constituents up and down the state and I didn't know if you want to add any more about the work force task force. I think we talked a little more in-depth about it and I was just very impressed with it so that maybe might want to share with everyone else.",1552,1572,Discussion,Indeterminate,CA
437,"Sure, you're going to be hearing a lot more, the task force we've convening a group of 22 folks they're going to meet on January 22nd initially, and then t we're working through a series of public meetings and then doing research into the field and having those conversations",1572,1591,Testimony,Indeterminate,CA
445,"We're making sure this spreads this goes up and down the state and then the task force will meet over the next six months. And we hope by the end of the summer there is a package of reforms, some of that will address the cost of career technical education.",1591,1606,Testimony,Indeterminate,CA
451,"In order to find new ways to fund the programs that require expensive equipment or other expensive types of technology. Oftentimes in allied health professions, recruiting faculty in those fields as difficult because they, the faculty, can make much more in the private-sector than they can as a teacher in the community college system.",1606,1631,Testimony,Indeterminate,CA
461,"So is there a professional development recruitment program that we can make sure we have enough teachers in the pipeline for those.",1631,1642,Testimony,Indeterminate,CA
465,"And, then are there other issues with respect to flexibility in the course offerings? Does everybody need to take a regular traditional semester approach? Or can certain programs be offered in a twelve week intensive period that can provide students flexibility and get the in and work with the employers get them out and get them into the workforce?",1642,1663,Testimony,Indeterminate,CA
473,"So those are types of things you'll be hearing more about  in the coming months.",1663,1666,Discussion,Indeterminate,CA
475,"Thank you Ms. Leyva. Ms. Fuller?",1670,1676,Discussion,Indeterminate,CA
477,"Well, the office interviews I think yielded a rich discussion. I enjoyed them very much. But, it convinced me of two things. Number one, that you have the models both historic and future in mind that can help us continue to move our community colleges forward and they're broad enough to provide access to all levels and all groups in our society.",1676,1704,Discussion,Indeterminate,CA
489,"Number two, you have the network, you've been an education long enough to know a wide variety of network of people that can make those model successful and that have proved successful in their interventions for all students success.",1704,1721,Discussion,Indeterminate,CA
495,"And, I think that the community college system has had a rough ocean to ride for the last couple years, and having those priorities in mind helped you and the community colleges board rise to the occasion, that you're still with us and that we are I think being ever more successful.",1721,1744,Discussion,Indeterminate,CA
505,"I am the product of the community college system, I value it a lot. I would not have went to college had it not been the community college outreach, to the small towns my area, so I continue to value that.",1744,1757,Discussion,Indeterminate,CA
511,"And, the only other issue that we really touched on but you convinced me that we you'll be working on that is aligning the fees for the veterans. I have a lot of veterans in my district and its a big wide open area with 5 bases so we really need you to complete that work.",1757,1779,Discussion,Indeterminate,CA
519,"I've talked to a lot of them and they're very nervous, they're worried about delays, and most of them have a very short window of time to complete their actively. So with that I'm happy to support Geoffrey today.",1779,1792,Discussion,Indeterminate,CA
525,"Thank you very much Ms. Fuller. Mr Baum, I have another question. This is something that you can educate us, you can educate me, why is that some community colleges have a stellar reputation for college transfers?",1792,1808,Discussion,Indeterminate,CA
533,"And, others have perhaps not as robust reputation? Is that more a question of what that campus tends to focus on more so than others? Is it a robust PR campaign? Is it extra counselors who are really, you know, just honed down in focusing transfer rates?",1808,1830,Discussion,Indeterminate,CA
543,"I'll give you case in point, obviously, you would know back home, you know, in Southern California, Los Angeles, Santa Monica College and you see it everywhere, you know, what those numbers are if their real numbers or not and what the methodology is.",1830,1844,Discussion,Indeterminate,CA
549,"If, you know, dependent disproportionate on international students as opposed to domestic, California, Southern California students. I don't know what that is, you know, we don't have to get into details about that but how come some schools have a more of a reputation than others?",1844,1859,Discussion,Indeterminate,CA
555,"Well some of its in the DNA of the institutions, and some of that has to do with their geographic location. And, schools that are close to major and very attractive universities often have those articulation pathways well-established, overtime.",1859,1870,Testimony,Indeterminate,CA
563,"Santa Barbara City College is the pathway to UC Santa Barbara. Santa Monica is the pathway to UCLA. Pasadena, we often transfer to USC and UCLA and Berkeley and others.",1871,1884,Testimony,Indeterminate,CA
569,"So, the institutions make a commitment. Our challenge is to ensure that those transfer pathways are clear robust and, accessible. But, that we don't also lose track of the major needs that we have, face as a system, more students, almost 70% of the students that enroll in a community college do not come with the basic skills to do college-level math or English.",1884,1910,Testimony,Indeterminate,CA
581,"And, its going to be much harder for those students to transfer to the four-year university until they're brought  up to the basic skills of doing college-level math and English. The other track that we can't let institutions overlook is the career path, the workforce training.",1910,1928,Testimony,Indeterminate,CA
587,"So, we're we've got to figure out how best to align all of, along those three missions and, make sure that what we're still committed to transfer, we're also paying close attention to basic skills and workforce training to.",1928,1944,Testimony,Indeterminate,CA
593,"But, at the same time the partnership we've had with the Cal States, the UCs, and private institutions is important.",1944,1951,Testimony,Indeterminate,CA
597,"It's going to be in the economic interest of the state to ensure that students have, can get those first two years of education at a much lower cost community college before they and transfer onto the great four-year back baccalaureate granting institutions.",1951,1968,Testimony,Indeterminate,CA
605,"You are currently at USC at the Annenberg Schools of Communications, as a faculty member.",1968,1975,Discussion,Indeterminate,CA
609,"I'm an administrator.",1975,1977,Discussion,Indeterminate,CA
611,"I run our research center and formally, Assistant Dean for Public Affairs Communications. I came through as a journalist, that's where my training is. I worked in Washington DC for CSpan, and ABC News. Then moved back after getting married and my wife didn't want to move to the east coast. It was a wise decision, so I came back to work for USC.",1977,2000,Testimony,Indeterminate,CA
619,"Very good, very good, so why don't we do this for those who are in support of Mr. Baum if you would be so kind of to come up to the microphone. Those who are supporters, of Mr. Baum, come to the microphone, if you could be very brief in your comments.",2000,2014,Discussion,Indeterminate,CA
625,"Yes, Mr. Chairman and Madam Vice Chair and members the Committee. I'm Tony Gonzalez, not representing any organization today, but representing myself as Geoff's best friend, his best man in his wedding, Geoff was best man in my wedding, and Geoff is the godfather of my daughter.",2014,2033,Testimony,Indeterminate,CA
633,"We met thirty three years ago at Claremont McKenna College. What I can tell, right across the street from Pitzer College, we might have even cross paths at that time, who knows where, Collins?",2033,2042,Testimony,Indeterminate,CA
637,"And, what I would briefly say, is that I cannot emphasize enough Geoff's passion for public service going back to CSpan. Which, I consider to be a form of public service, to now, I think for at least ten years now involved with the community colleges. First at the PCC and now with the Board of Governors.",2042,2062,Testimony,Indeterminate,CA
647,"He's very excited to continue his service, and I know he'll do a fantastic job if confirmed. thank you",2062,2066,Testimony,Indeterminate,CA
649,"Thank you much Mr. Gonzalez, thank you. Any other folks in support of Mr. Baum? Any other folks in support? Any opposition? Any sworn enemies? Any frienemies? Sometimes your friends, sometimes your enemies, no?",2066,2087,Discussion,Indeterminate,CA
659,"Okay I am seeing none, I'd like to entertain a motion. We have a motion that's been made by Ms. Fuller to send the nomination of Geoffrey Baum to the Senate for an official and final confirmation so you can continue your six-year tenure. Madam Secretary, please call the role.",2087,2111,Discussion,Indeterminate,CA
667,"Senators Cannella? Cannella, aye. Leyva? Leyva, aye. Mitchell? Fuller? Fuller, aye De Leon? De Leon, aye.",2113,2116,Discussion,Indeterminate,CA
669,"Four zero congratulations mR bob thank you very much.",2118,2123,Discussion,Indeterminate,CA
671,"Okay, we have our next appointee, a governor's appointee, we have Mr., I hope I pronounced it correctly, if I have not please correct me, Mr. Davood Ghods",2,13,Discussion,Indeterminate,CA
677,"Davood Ghods. Thats correct.",15,17,Discussion,Indeterminate,CA
679,"You are up for the Chief of the Office of Technology Services.  Welcome. And you may proceed.",17,30,Discussion,Indeterminate,CA
681,"I have some family members.",30,33,Discussion,For,CA
683,"I will introduce them in the order they are seated. On the second row, my older son, ... , student from San Francisco State University.  My wife, a social worker for ... county, next to him. My daughter from Folsom High School and my younger son, ... , next to them.",37,57,Discussion,For,CA
691,"And my brother, a physician from Fairfield is here also.  The neighborhood wanted to come, but I told them it was a small room.",57,63,Discussion,For,CA
695,"If I may, I'll start with my opening statement. First of all, thank you for having me this afternoon and happy New Year to all of you. It is really a great honor and a privilege to sit in front of all of you today.",68,82,Discussion,For,CA
701,"I would like to thank Governor Brown for giving me this opportunity.   Most of my thirty years of information technology experience has been with the state of California.",82,98,Discussion,For,CA
707,"I am grateful that I can use those public and private sector experiences to lead an organization that I was a part of for seventeen years. Office of technology services, what we call O-tech,  runs the computer systems that  have been approved and have been put into production by our customers.",98,125,Discussion,For,CA
727,"Accountability is also important to me.  If there is a problem at the datacenter, I'm the one responsible and I would expect to be held accountable. Mr. Chair, I'll stop there and be happy to answer any questions you may have.",143,157,Discussion,For,CA
745,"Enlighten us a little bit, what your views on the issue of security given that we have so much data.  Probably the largest amount of data that's outside the federal government in Washington, D.C. Well, there you go, is that a security issue right there?",191,206,Discussion,Indeterminate,CA
755,"Ok, you took care of it.  Thank you very much. That's good.  That's good.",208,210,Discussion,Indeterminate,CA
757,"Well, I'd be happy to talk about that topic. Everyone is vulnerable and we know that, but we watch for that and we learn from the incidence that are happening.",216,229,Discussion,For,CA
763,"In the industry and government. I want to say that we have not had a breach while during my tenure at O-tech.",229,239,Discussion,For,CA
769,"We conduct third-party, independent risk assessments of our environment from a physical, from a virtual, from a network perspective and from policy perspective also.  To find any vulnerabilities that there could be, before hackers get to those vulnerabilities and if we find any we resolve and mitigate those immediately.",239,269,Discussion,For,CA
785,"We continuously work on improving our security posture. There's always room to improve and we work on that continuously.",269,278,Discussion,For,CA
789,"We collaborate with industry and with government entities, law enforcement entities, to make sure that if there are attacks that are on their way, or if there are information, is information, that we need to know that we collaborate with FBI, Cal OES, with state information security officer and, as well as, cyber security organizations that are available to us, who can give us heads ups.",279,309,Discussion,For,CA
801,"One of the other areas that we are active in, and it has proven very beneficial, is a work group that we have created called the Secure Internet Gateway.",309,321,Discussion,For,CA
807,"This is a work group of all information security officers of all departments.  So when a virus, or a security threat happens, or it's on its way, that we can all collaborate about, and if it is happening stopped the bleeding soon as possible.",322,341,Discussion,For,CA
815,"So we're continuously monitoring, we're learning, and we are improving our expertise and tools in order to do a better job in reducing risks.  Everyone is vulnerable. What can we do to reduce our risks? Is what we've been working on.  I hope I answered your first question?",340,361,Discussion,For,CA
825,"Thank you very much.  Now we have no successful security breaches.  Can you tell us more or less, give us a ballpark figure, how many attemps there have been to hack into our systems?",361,376,Discussion,Indeterminate,CA
831,"Sure.  Typically and historically we mitigate forty thousand vulnerabilities a year.  These could be patches, also included, that you get from vendors, but this year...",376,390,Discussion,For,CA
837,"Could you explain what that means, patches?",390,395,Discussion,Indeterminate,CA
839,"Yes. These are fixes to software that we run at the datacenter, that a vendor would tell us you need to run this fix on top of the software that you're running.  And these are based on the vulnerabilities that they have found on their software.",395,410,Discussion,For,CA
845,"And that doesn't cost us any money, does it?",410,412,Discussion,Indeterminate,CA
855,"So we are even busier than usual mitigating and stopping any attacks that could be coming.",433,440,Discussion,For,CA
865,"We do use assistance from our telecommunication providers, definitely.  And there are tools that would strengthen our security and our posture for security that we do use from vendors, as well as internal stuff.",459,479,Discussion,For,CA
873,"Ok.  Let me ask you an open-ended question, just a perception issue, but based on ample evidence. There's always this sort of kind of perception if you will, that we have government, state government,  and, I have no doubt that you do an excellent job hence your apointment by Governor Brown and, you have outside vendors, and not to prejudice any particular outside vendor, but whether it's some new type of program, once we go alive, there's kinks.",479,513,Discussion,Indeterminate,CA
889,"There are, in the system itself, and it cost, ends up costing tax-payers, you know, tens of millions of dollars.  Sometimes you go to litigation, I know a case, obviously has nothing to do with state government, but rather local government, at our local school district.",513,530,Discussion,Indeterminate,CA
897,"But before they went live, obviously, there was a lot of kinks in the system and folks were underpaid, overpaid, not paid.  To add injury to insult, the consulting firm in this case had come back and then did an assessment and asked the school district to pay them more money to fix the problem.",530,547,Discussion,Indeterminate,CA
903,"So, we've seen this time and time again and there's always a perception that the outside vendors are much more smarter, are much more quicker and nimble, you know, and, there's, you know, what happens here?",547,560,Discussion,Indeterminate,CA
911,"Do they, sometimes I'll admit , I've heard from members themselves.  Is the scam on, you know, ...to, you know. They know what's going to happen, what's going to break down and they come in for the fix and the fix always cost a lot more money.",560,573,Discussion,Indeterminate,CA
917,"So we got a good deal on the front end, but on the back end it always ends up costing more money.  Can you give us some of your thoughts on that?",573,581,Discussion,Indeterminate,CA
921,"I know they are very general but, you know, I don't want to  prejudice anyone in particular,  any vendor, but get your thoughts please? Because I'm, what I'm doing is giving you a perception, that is a bi-partisan perception both Republicans, as well as Democrats.",581,594,Discussion,Indeterminate,CA
927,"Because what we're trying to do, is try to do our best, to a take care of the purse strings of the taxpayers.",594,600,Discussion,Indeterminate,CA
929,"Absolutely. First, let me explain a little about Department of Technology and how it's divided into two parts. The operations side and the policy side.",600,615,Discussion,For,CA
935,"I am in the operations side.  We run the systems that are already put in production and have passed the stages that you described.  But, I would like to also talk about the question that you asked, why projects fail and what factors contribute to that?",615,634,Discussion,For,CA
943,"There have been failures in local government, in state government, elsewhere, but there have also been successes.  We have had successful projects in IT, such as the most recent California Conservation Corps.",634,650,Discussion,For,CA
951,"I'd really like to bring that up because they won a national award for putting up a recruitment system, are using cloud technology and, it was the National Association of State CIOs that gave them the award.",650,665,Discussion,For,CA
957,"But what are some factors that contribute to failure or success of a project?  They are things like miss estimation of the budget, of the schedule, of not having a clear definition of the scope of the problem at the beginning.",665,683,Discussion,For,CA
965,"Or, maybe the organization wasn't ready yet, culturally, to take on the implementation of this system.  The Department of Technology, the policy side, was responsible for the oversight of project before they come to us and be maintained and operated, is responsible and taking measures to mitigate all those factors that I described.",683,709,Discussion,For,CA
977,"Under the direction of the state CIO, Director Ramos, we are taking measures to improve those factors that could be impacting the failure of a project.",709,723,Discussion,For,CA
983,"Thank you and to be fair this is a question, a similar question that I posed to Mr. Ramos too when I was sitting  right over there where Ms. ___ is sitting.  So,  with that I'm going to open it up to my colleagues, Mr. Cannella.",723,739,Discussion,Indeterminate,CA
989,"Again, I had a nice interview, a nice discussion with Mr. Ghods, and obviously he is very qualified for this position.  He appears to want the position which is good.",739,749,Discussion,Indeterminate,CA
993,"One thing in particular that impressed me about this gentleman, is that he kept referring to the folks that he provides services to as customers and I thought that was, I thought that was good because, you know, I rely on, I don't if its your particular department, there are so many departments, but it's nice to be treated as a customer.  And when you're a state worker, working for other state department's, I think that occasionally there could be an attitude where I'll get to what I get to it and, I think by calling them customers means that they're important they have imporatnt services to provide the constituents of California.  So I think that's great.  So, I have no further questions.",749,784,Discussion,Indeterminate,CA
1007,"Ok, thank  you very much Mr. Cannella. Any questions or commentaries?",784,789,Discussion,Indeterminate,CA
1009,"I agree with Senator Cannella, I was also impressed that you refer to everyone as customers.  I was also impressed that you had both public and private sector experience.  I think that makes you very qualified and I look forward to supporting you today.",789,806,Discussion,For,CA
1015,"Very good discussion on security.  And I feel that you are very qualified.  And the only question I have for the, through the public today is what additional types of new business services or innovations do you foresee of the tech providing in the near future?  Just very briefly, maybe more about what we end-users we'll get to do than about the specific technology.",806,837,Discussion,Indeterminate,CA
1031,"Right, well, I mentioned a couple cloud computing is pretty prevalent and we will  be moving more and more towards cloud computing, but as far as an end-user experience what you will see is the digitization of government where you can access these databases and systems, that you typically have to get in front of a large-screen, on your mobile devices, on your handheld devices.",837,862,Discussion,For,CA
1041,"So, more and more, we will be driving towards the mobility.  And what I want to also, to use this time to say that we also won a mobility award recently for the catalog of the mobile applications that state of California put up, and that's available on our website as well.",862,883,Discussion,For,CA
1051,"Okay, thank you very much, Mr. Ghods.  Any questions, any further questions or commentaries? Seeing none, those in support?  Any witnesses in support? Come on up. We have someone coming up I think? Yes, come on up.",883,899,Discussion,Indeterminate,CA
1057,"Hi, my name's Russ Guarna, I'm vice-president state and local government for Tech America.  We are the largest, one of the largest excuse me, trade associations for the IT industry.",899,909,Testimony,For,CA
1061,"We have submitted a letter on Mr. Ghods behalf in support of his confirmation.  We are also here to show our support of his confirmation.",909,915,Testimony,For,CA
1067,"Thank you very much Mr. Ghods, and thank you for bringing up your family, especially your son, sons, and daughter so they can witness your confirmation in real-time.",924,936,Discussion,Indeterminate,CA
1071,"I want to entertain a motion so we can send this nomination to the senate floor for confirmation. We have a motion, that has been made by our vice chair,  Miss Fuller.  Madam Secretary please call the roll.",936,948,Discussion,Indeterminate,CA
1077,"Senators Cannella? Cannella aye. Leyva? Leyva aye. Mitchell? Fuller? Fuller aye. De Leon? De Leon aye.",948,959,Discussion,Indeterminate,CA
1083,"Measure passes on a 4-0 vote. I want to welcome you back to your position and congratulations, Mr. Ghods.",959,981,Discussion,Indeterminate,CA
